Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Cod_Producto,Producto,Categoria,Marca,Vendedor,Equipo,Cantidad,Precio_Unit,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
25/08/2026,8,2026,2026-08,F 004-00002264,026-0011936,OPP-0000000109,RM-24597,PERUPLAST S A,Petroquímica / Química,97000001,SERVICIO DE MANTENIMIENTO Y REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,Otros,Mercedes Quispe,VENTAS-FABRICACION,1.0,3990.0,USD,3.356,3990.0,487.35,3502.65,0.8779,13390.44,1635.56,7032140 Otros servicios
25/08/2026,8,2026,2026-08,F 004-00002266,,,,PERUPLAST S A,Petroquímica / Química,97000001,SERVICIO DE MANTENIMIENTO Y REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,Otros,Mercedes Quispe,VENTAS-MANTENIMIENTO,1.0,5090.0,USD,3.356,5090.0,5090.0,0.0,0.0,17082.04,1516.69,7032140 Otros servicios
26/08/2026,8,2026,2026-08,F 004-00002267,026-0012136,OPP-0000000259,,MAQUIRENA S.A.C.,Cemento y Materiales de Construcción,40600415,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),ORIGINAL / HEATEX / ENFRIADORES,Heatex,Manuel Alvarez,VENTAS-COMERCIALIZACION,1.0,1800.0,USD,3.35,1800.0,877.06,922.94,0.5127,6030.0,261.81,7012100 Mercaderías - Mercaderías - venta local - Terceros
27/08/2026,8,2026,2026-08,F 004-00002269,026-0012127,OPP-0000000242,RM-24677,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Mining,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Arnold Hernández,VENTAS-MANTENIMIENTO,1.0,790.0,USD,3.35,790.0,53.91,736.09,0.9318,2646.5,180.6,7032110 Servicio de reparación
28/08/2026,8,2026,2026-08,F 004-00002270,026-0012149,OPP-0000000272,,VPTM IQUITOS S.A.C.,Servicios / Otros,40600599,JUNTA PLACA NBR HT P/ INTERCAMBIADOR S62-IS10,ORIGINAL / HEATEX / JEBE DESMONTABLE,,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,240.0,23.6,USD,3.348,5664.0,0.0,5664.0,1.0,18963.07,0.0,7111010 Variacion productos terminados
28/08/2026,8,2026,2026-08,F 004-00002271,026-0012148,OPP-0000000271,,XIAN BUSINESS CORPORATION S.A.C.,Servicios / Otros,40600390,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),ORIGINAL / HEATEX / ENFRIADORES,Heatex,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,1.0,540.0,USD,3.348,540.0,203.67,336.33,0.6228,1807.92,60.83,7012100 Mercaderías - Mercaderías - venta local - Terceros
28/08/2026,8,2026,2026-08,F 004-00002272,026-0012036,OPP-0000000366,,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Manufacturing,40900049,LAMINA ALUMINIO X 0.23MM (BOBINA),ORIGINAL / GHT / LAMINAS,Heatex,Rintusac,VENTAS-MANTENIMIENTO,0.9,4.5,USD,3.348,4.05,3.72,0.33,0.0815,13.56,1.11,7111010 Variacion productos terminados
31/08/2026,8,2026,2026-08,F 004-00002273,026-0012171,OPP-0000000297,,RADIADORES INDUSTRIAL MBA SOCIEDAD ANONIMA CERRADA-RIMBASAC,Servicios / Otros,40600373,MOTOR HTX0367 1.75HP AC IP66 (copiar),ORIGINAL / HEATEX / VARIOS,Heatex,Rintusac,VENTAS-COMERCIALIZACION,50.0,8.0,USD,3.356,400.0,50.38,349.62,0.874,1342.4,15.01,7111010 Variacion productos terminados
31/08/2026,8,2026,2026-08,F 004-00002274,026-0012141,OPP-0000000265,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,40600503,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,ORIGINAL / HEATEX / MOTOR,Heatex,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,5.0,980.0,USD,3.356,4900.0,1706.17,3193.83,0.6518,16444.4,508.39,7012100 Mercaderías - Mercaderías - venta local - Terceros
31/08/2026,8,2026,2026-08,F 004-00002275,026-0011970,OPP-0000000004,RM-24611,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,Mining,92000001,SERVICIO REPARACION,SERV. CLIENTE / VARIOS LINEA / VARIOS,,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,1.0,1390.0,USD,3.356,1390.0,826.62,563.38,0.4053,4664.84,2774.15,7032110 Servicio de reparación
