Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012148,OPP-0000000271,2026-08-26,2026-08,Jeancarlos Castillo,XIAN BUSINESS CORPORATION S.A.C.,Confirmada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,540.0,540.0
026-0012149,OPP-0000000272,2026-08-28,2026-08,Jeancarlos Castillo,VPTM IQUITOS S.A.C.,Confirmada,JUNTA PLACA NBR HT P/ INTERCAMBIADOR S62-IS10,40600599,,240.0,23.6,5664.0
026-0012150,,2026-08-27,2026-08,Rintusac,COOLING AIR PERU S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,2180.0,2180.0
026-0012151,,2026-08-27,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,1.0,980.0,980.0
026-0012152,OPP-0000000281,2026-08-27,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Enviada,SERVICIO REPARACION,92000001,,1.0,7010.0,6309.0
026-0012153,,2026-08-27,2026-08,Rintusac,HEATEX USA INC. - TAX I.D 81-0820045,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,2000.0,2000.0
026-0012154,,2026-08-27,2026-08,Rintusac,HEATEX USA INC. - TAX I.D 81-0820045,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,0,0
026-0012155,,2026-08-27,2026-08,Rintusac,HEATEX USA INC. - TAX I.D 81-0820045,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,2000.0,2000.0
026-0012156,,2026-08-27,2026-08,Rintusac,HEATEX USA INC. - TAX I.D 81-0820045,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,2000.0,2000.0
026-0012157,,2026-08-27,2026-08,Rintusac,HEATEX USA INC. - TAX I.D 81-0820045,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,1.0,2000.0,2000.0
