Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Vendedor,Equipo,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
17/08/2026,8,2026,2026-08,F 004-00002233,026-0011706,OPP-0000000358,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,3.368,21400.0,12321.93,9078.07,0.4242,72075.2,3658.53,
17/08/2026,8,2026,2026-08,F 004-00002234,026-0011710,,,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-FABRICACION,USD,3.368,4280.0,2431.15,1848.85,0.432,14415.04,721.84,
17/08/2026,8,2026,2026-08,F 004-00002235,026-0011968,OPP-0000000003,,ANTESA S.A.C.,Metalmecánica / Siderurgia,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,PEN,3.368,740.4,304.62,435.78,0.5886,2493.67,90.45,
18/08/2026,8,2026,2026-08,F 004-00002236,026-0012090,OPP-0000000127,,IESA S A,Servicios / Otros,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.37,1150.0,616.1,533.9,0.4643,3875.5,182.82,
18/08/2026,8,2026,2026-08,F 004-00002237,026-0011449,,RM-24332,COMPAÑIA MINERA CHUNGAR S.A.C.,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.37,12002.0,1196.38,10805.62,0.9003,40446.74,4031.8,
19/08/2026,8,2026,2026-08,F 004-00002238,026-0012118,,RM-24674,HYDEXCORP S.A.C.,Metalmecánica / Siderurgia,Jeancarlos Castillo,VENTAS-FABRICACION,USD,3.362,1540.0,1177.82,362.18,0.2352,5177.48,3959.82,
19/08/2026,8,2026,2026-08,F 004-00002239,026-0012114,,,MUNDO CALOR PERU S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-FABRICACION,PEN,3.362,230.96,23.84,207.12,0.8968,776.49,7.09,
20/08/2026,8,2026,2026-08,F 004-00002240,026-0012121,OPP-0000000246,,MINERA GIGANTE SRL.,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.361,54.0,17.25,36.75,0.6806,181.49,5.13,
20/08/2026,8,2026,2026-08,F 004-00002241,026-0012122,OPP-0000000248,RM-24664,MINERA GIGANTE SRL.,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.361,120.0,18.31,101.69,0.8474,403.32,61.54,
20/08/2026,8,2026,2026-08,F 004-00002243,026-0011876,,RM-24550,GESTION MINERA INTEGRAL S.A.C.,Construcción / EPC / Contratistas,Mercedes Quispe,VENTAS-FABRICACION,USD,3.361,7000.0,917.11,6082.89,0.869,23527.0,3082.42,
20/08/2026,8,2026,2026-08,F 004-00002244,026-0011942,OPP-0000000356,RM-24595,MINSUR S. A.,Mining,Mercedes Quispe,VENTAS-COMERCIALIZACION,USD,3.361,5868.0,1499.65,4368.35,0.7444,19722.35,5040.31,
20/08/2026,8,2026,2026-08,F 004-00002245,026-0011920,,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.361,1600.0,871.35,728.65,0.4554,5377.6,259.25,
21/08/2026,8,2026,2026-08,F 004-00002246,026-0011954,OPP-0000000042,,SISTEMAS CONVENCIONALES S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.361,1150.0,608.32,541.68,0.471,3865.15,180.99,
21/08/2026,8,2026,2026-08,F 004-00002247,026-0012078,OPP-0000000116,RM-24654,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.361,1450.0,56.21,1393.79,0.9612,4873.45,188.92,
22/08/2026,8,2026,2026-08,F 004-00002248,026-0012101,OPP-0000000220,,HYDROMINING GROUP S.A.C.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.352,1866.28,819.59,1046.69,0.5608,6255.77,244.51,
24/08/2026,8,2026,2026-08,F 004-00002250,,,,ITALMECAN S.A.C.,Metalmecánica / Siderurgia,Mercedes Quispe,VENTAS-FABRICACION,USD,3.352,550.0,550.0,0.0,0.0,1843.6,164.08,
24/08/2026,8,2026,2026-08,F 004-00002251,026-0012086,OPP-0000000147,,XIAN BUSINESS CORPORATION S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-FABRICACION,USD,3.352,540.0,203.55,336.45,0.6231,1810.08,60.72,
24/08/2026,8,2026,2026-08,F 004-00002252,026-0012096,OPP-0000000371,,TP INTERCAMBIADORES S.A.C.,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.352,2500.0,1231.1,1268.9,0.5076,8380.0,367.27,
24/08/2026,8,2026,2026-08,F 004-00002253,026-0012115,OPP-0000000228,RM-24676,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.352,1199.48,323.62,875.86,0.7302,4020.66,1084.78,
25/08/2026,8,2026,2026-08,F 004-00002254,,,,SALVADOR ZA FISHING S.A.C.,Pesca,Jeancarlos Castillo,VENTAS-FABRICACION,USD,3.356,1390.0,1390.0,0.0,0.0,4664.84,414.18,
25/08/2026,8,2026,2026-08,F 004-00002256,026-0012089,OPP-0000000122,RM-24672 | RM-24673 | RM-24671,CONSORCIO FRAP S.A.C.,Agroindustria y Alimentos,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,3.356,15253.6,2033.48,13220.12,0.8667,51191.08,6824.36,
25/08/2026,8,2026,2026-08,F 004-00002257,026-0011831,OPP-0000000206,RM-24564,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,3.356,795.0,1433.5,-638.5,-0.8031,2668.02,4810.82,
25/08/2026,8,2026,2026-08,F 004-00002258,026-0011984,,RM-24519,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,3.356,775.0,1434.53,-659.53,-0.851,2600.9,4814.29,
25/08/2026,8,2026,2026-08,F 004-00002259,026-0012038,,RM-24627,RESEMIN S.A.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,3.356,764.0,1517.22,-753.22,-0.9859,2563.98,5091.8,
25/08/2026,8,2026,2026-08,F 004-00002260,026-0011777,,RM-24514 | RM-24515,VOLCAN COMPANIA MINERA S.A.A.,Mining,Arnold Hernández,VENTAS-FABRICACION,USD,3.356,14564.0,4127.15,10436.85,0.7166,48876.78,13850.7,
25/08/2026,8,2026,2026-08,F 004-00002261,026-0012103,OPP-0000000221,,VOLCAN COMPANIA MINERA S.A.A.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.356,4726.0,2222.38,2503.62,0.5298,15860.46,662.21,
25/08/2026,8,2026,2026-08,F 004-00002262,026-0012023,OPP-0000000153,RM-24625,PAN AMERICAN SILVER HUARON S.A.,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.356,4851.0,1621.82,3229.18,0.6657,16279.96,5442.84,
25/08/2026,8,2026,2026-08,F 004-00002263,026-0012133,OPP-0000000258,,GRUPO ASEGA S.A.C.,Servicios / Otros,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.356,1300.0,618.49,681.51,0.5242,4362.8,184.29,
25/08/2026,8,2026,2026-08,F 004-00002264,026-0011936,OPP-0000000109,RM-24597,PERUPLAST S A,Petroquímica / Química,Mercedes Quispe,VENTAS-FABRICACION,USD,3.356,3990.0,487.35,3502.65,0.8779,13390.44,1635.56,
25/08/2026,8,2026,2026-08,F 004-00002266,,,,PERUPLAST S A,Petroquímica / Química,Mercedes Quispe,VENTAS-MANTENIMIENTO,USD,3.356,5090.0,5090.0,0.0,0.0,17082.04,1516.69,
26/08/2026,8,2026,2026-08,F 004-00002267,026-0012136,OPP-0000000259,,MAQUIRENA S.A.C.,Cemento y Materiales de Construcción,Manuel Alvarez,VENTAS-COMERCIALIZACION,USD,3.35,1800.0,877.06,922.94,0.5127,6030.0,261.81,
27/08/2026,8,2026,2026-08,F 004-00002269,026-0012127,OPP-0000000242,RM-24677,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Mining,Arnold Hernández,VENTAS-MANTENIMIENTO,USD,3.35,790.0,53.91,736.09,0.9318,2646.5,180.6,
28/08/2026,8,2026,2026-08,F 004-00002270,026-0012149,OPP-0000000272,,VPTM IQUITOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.348,5664.0,0.0,5664.0,1.0,18963.07,0.0,
28/08/2026,8,2026,2026-08,F 004-00002271,026-0012148,OPP-0000000271,,XIAN BUSINESS CORPORATION S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.348,540.0,203.67,336.33,0.6228,1807.92,60.83,
28/08/2026,8,2026,2026-08,F 004-00002272,026-0012036,OPP-0000000366,,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Manufacturing,Rintusac,VENTAS-MANTENIMIENTO,USD,3.348,4.05,3.72,0.33,0.0815,13.56,1.11,
31/08/2026,8,2026,2026-08,F 004-00002273,026-0012171,OPP-0000000297,,RADIADORES INDUSTRIAL MBA SOCIEDAD ANONIMA CERRADA-RIMBASAC,Servicios / Otros,Rintusac,VENTAS-COMERCIALIZACION,USD,3.356,400.0,50.38,349.62,0.874,1342.4,15.01,
31/08/2026,8,2026,2026-08,F 004-00002274,026-0012141,OPP-0000000265,,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.356,4900.0,1706.17,3193.83,0.6518,16444.4,508.39,
31/08/2026,8,2026,2026-08,F 004-00002275,026-0011970,OPP-0000000004,RM-24611,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,Mining,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.356,1390.0,826.62,563.38,0.4053,4664.84,2774.15,
31/08/2026,8,2026,2026-08,F 004-00002276,026-0012097,OPP-0000000217,,TP INTERCAMBIADORES S.A.C.,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.356,2500.0,1282.15,1217.85,0.4871,8390.0,382.05,
10/08/2026,8,2026,2026-08,F CF0-00000069,026-0011424,,,STRACON PERÚ S.A.,Mining,Arnold Hernández,VENTAS-FABRICACION,USD,3.391,-6410.0,-10516.27,4106.27,-0.6406,-21736.31,-3101.23,
15/08/2026,8,2026,2026-08,F CF0-00000070,026-0011692,,,OYOLA ALFARO RONAL RODY,Servicios / Otros,Jeancarlos Castillo,VENTAS-FABRICACION,USD,3.368,-3563.2,5636.34,-9199.54,2.5818,-12000.86,1673.5,
31/08/2026,8,2026,2026-08,F CF0-00000071,026-0012149,OPP-0000000272,,VPTM IQUITOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.356,-5664.0,-11328.0,5664.0,-1.0,-19008.38,-3375.45,
01/09/2026,9,2026,2026-09,E001-106,026-0012187,OPP-0000000310,,RADIADORES ARNAO INDUSTRIAL S.A.C,Servicios / Otros,Rintusac,VENTAS-MANTENIMIENTO,USD,0.0,-560.0,-560.0,0.0,-0.0,0.0,0.0,
03/09/2026,9,2026,2026-09,E001-1245,026-0012169,OPP-0000000295,,MICHELL Y CIA S.A.,Textil,Manuel Alvarez,VENTAS-MANTENIMIENTO,USD,3.36,8184.0,8184.0,0.0,0.0,27498.24,2435.71,
