Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012124,OPP-0000000237,2026-08-21,2026-08,Manuel Alvarez,INNOVA CHILLTEC S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,750.0,750.0
026-0012126,OPP-0000000241,2026-08-21,2026-08,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,15.0,425.0,6247.5
026-0012126,OPP-0000000241,2026-08-21,2026-08,Manuel Alvarez,OPP FILM S.A.,SERVICIO MANTENIMIENTO,91000001,,15.0,425.0,6247.5
026-0012131,OPP-0000000251,2026-08-21,2026-08,Jeancarlos Castillo,CORPORACION MACMINING E.I.R.L.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1260.0,2520.0
026-0012137,OPP-0000000259,2026-08-24,2026-08,Manuel Alvarez,MAQUIRENA S.A.C.,RADIADOR COMPLETO ACEITE/AGUA/ACEITE PAUS PSCALE 8T,40600545,Heatex,1.0,4995.0,4995.0
026-0012138,OPP-0000000262,2026-08-25,2026-08,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,ENFRIADOR OIL HIDR. BOWMAN GL180 1428-3 (3P) 90 / 10,40200026,Bowman,2.0,2080.0,4160.0
026-0012146,OPP-0000000270,2026-08-26,2026-08,Jeancarlos Castillo,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,SERVICIO REPARACION,92000001,,1.0,5800.0,5800.0
026-0012147,OPP-0000000273,2026-08-26,2026-08,Jeancarlos Castillo,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,KIT DE ENFRIAMIENTO SIST. HID. P/. LHD KOMATSU WX07,20100157,RINTUSAC,1.0,2190.0,2124.3
026-0012152,OPP-0000000281,2026-08-27,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,SERVICIO REPARACION,92000001,,1.0,7010.0,6309.0
026-0012159,OPP-0000000280,2026-08-28,2026-08,Manuel Alvarez,INDUSTRIA DE FORTIFICACION MINERA S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,150.0,150.0
026-0012164,OPP-0000000108,2026-08-28,2026-08,Mario Li,INKA TUBOS S.A.,INTERCAMBIADOR DE PLACAS GPHE T10-BFM 100PL-TI-0.50-NBRP 30125-43745 (copiar),40100686,Alfa Laval,1.0,11617.37,11617.37
026-0012165,OPP-0000000291,2026-08-28,2026-08,Mercedes Quispe,Imbarex S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,950.0,950.0
026-0012166,OPP-0000000280,2026-08-28,2026-08,Manuel Alvarez,INDUSTRIA DE FORTIFICACION MINERA S.A.C.,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,540.0,540.0
026-0012167,OPP-0000000293,2026-08-28,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600414,Heatex,1.0,3888.0,3888.0
